query_number,query,rank,is_number,title,hybrid_score,status,relevance,notes
14,We need road construction materials and bitumen.,4,IS/ISO 22242:2005,Road construction and road maintenance machinery and equipment - Basic types - Identification and description,0.5651,Current,Partially Relevant,Road construction machinery classification.
14,We need road construction materials and bitumen.,5,IS 1322:1993,Bitumen Felts for Water Proofing and Damp-proofing - Specification (Fourth Revision),0.557,Current,Not Relevant,"Bitumen felt for waterproofing, not pavement bitumen."
14,We need road construction materials and bitumen.,6,IS/ISO 16039:2004,Road construction and maintenance equipment - Slipform pavers - Definitions and commercial specifications,0.5205,Current,Partially Relevant,Slipform paver equipment.
14,We need road construction materials and bitumen.,7,IS 1838 (Part 1):1983,preformed fillers for expansion joint in concrete pavement and structures (non extruding and resilient type): Part 1 Bitumen impregnated fibre - Specification,0.5089,Current,Partially Relevant,Bitumen-impregnated pavement expansion-joint filler.
14,We need road construction materials and bitumen.,8,IS 19765:2026 ISO 15878,Road Construction and Maintenance Equipment — Pavers-finishers — Commercial Specifications ( First Revision ),0.473,Not Available,Partially Relevant,Road paver equipment.
14,We need road construction materials and bitumen.,9,IS/ISO 15643:2020,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - BITUMINOUS BINDER SPRAYERS AND SYNCHRONOUS BITUMINOUS BINDER SPRAYERS-CHIP SPREADERS - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS,0.3949,Not Available,Partially Relevant,Bituminous binder spraying equipment.
14,We need road construction materials and bitumen.,10,IS/ISO 15645:2018,ROAD CONSTRUCTION AND MAINTENANCE EQUIPMENT - ROAD MILLING MACHINERY - TERMINOLOGY AND COMMERCIAL SPECIFICATIONS ( Adoption of ISO 15645 ),0.3804,Not Available,Partially Relevant,Road milling machinery.
15,We need cement concrete pavement materials for road construction.,1,IS 6461 (Part 2):2024,Cement Concrete - Glossary of terms : Part 2 Materials Other than Cement and Aggregate (First Revision),0.8862,Current,Not Relevant,"Concrete glossary, not a procurement specification."
15,We need cement concrete pavement materials for road construction.,2,IS 6461 (Part 5):2024,Cement Concrete - Glossary of Terms : Part 5 Formwork for Concrete (First Revision),0.666,Current,Not Relevant,"Concrete formwork glossary, not pavement material specification."
15,We need cement concrete pavement materials for road construction.,3,IS 9142 (Part 1):2018,Artificial Lightweight Aggregate for Concrete - Specification: Part 1 For Concrete Masonry Blocks andfor applications other than for Structural Concrete (First Revision),0.5819,Current,Partially Relevant,Concrete aggregate specification for some applications.
15,We need cement concrete pavement materials for road construction.,4,IS 1237:2012,Cement Concrete Flooring Tiles - Specification (Second Revision),0.5248,Current,Not Relevant,"Flooring tiles, not pavement materials."
15,We need cement concrete pavement materials for road construction.,5,IS 6461 (Part 8):2024,Cement Concrete - Glossary of Terms : Part 8 Properties of Concrete (First Revision),0.5223,Current,Not Relevant,Concrete glossary.
15,We need cement concrete pavement materials for road construction.,6,IS 6461 (Part 4):2024,Cement Concrete - Glossary of Terms : Part 4 Types of Concrete (First Revision),0.4865,Current,Not Relevant,Concrete glossary.
15,We need cement concrete pavement materials for road construction.,7,IS 6461 (Part 3):2024,Cement Concrete - Glossary of Terms : Part 3 Concrete Reinforcement (First Revision),0.4156,Current,Partially Relevant,Concrete reinforcement terminology.
15,We need cement concrete pavement materials for road construction.,8,SP 34:1987,Handbook on Concrete Reinforcement and Detailing,0.4106,Not Available,Partially Relevant,Concrete reinforcement handbook.
15,We need cement concrete pavement materials for road construction.,9,IS 6461 (Part 1):2024,Cement Concrete - Glossary of terms : Part 1 Concrete Aggregates (First Revision),0.3974,Current,Partially Relevant,Concrete aggregate terminology.
15,We need cement concrete pavement materials for road construction.,10,IS 6461 (Part 12):2024,Cement Concrete - Glossary of Terms : Part 12 Miscellaneous Terms (First Revision),0.3728,Current,Not Relevant,Miscellaneous concrete terminology.
16,We need industrial protective gloves for workers.,1,IS 10667:2025,Selection of Industrial Safety Equipment for Protection of Foot and Leg - Guide ( First Revision ),0.975,Current,Not Relevant,"Foot and leg safety equipment, not gloves."
16,We need industrial protective gloves for workers.,2,IS 16835 (Part 3):2018 ISO 13856-3,"Safety of machinery - Pressure - Sensitive protective devices: Part 3 general principlesfor design and testing of pressure - Sensitive bumpers, plates, wires and similar devices",0.6799,Current,Not Relevant,Machine pressure-sensitive protective devices.
16,We need industrial protective gloves for workers.,3,IS 15298 (Part 8):2004 ISO 8782-2,"Safety, protective and occupational footwear for professional use: Part 8 additional specification for occupational footwear",0.6473,Current,Not Relevant,Occupational footwear specification.
16,We need industrial protective gloves for workers.,4,IS 15298 (Part 5):2004 ISO 8782-5,"Safety, protective and occupational footwear for professional use: Part 5 additional requirements and test methods",0.6106,Current,Not Relevant,Occupational footwear specification.
16,We need industrial protective gloves for workers.,5,IS 16835 (Part 1):2018 ISO 13856-1,Safety of machinery - Pressure - Sensitive protective devices: Part 1 general principlesfor design and testing of pressure - Sensitive mats and pressure - Sensitive floors,0.6033,Current,Not Relevant,Machine protective mats/floors.
16,We need industrial protective gloves for workers.,6,IS 16835 (Part 2):2018 ISO 13856-2,Safety of machinery - Pressure - Sensitive protective devices: Part 2 general principlesfor design and testing of pressure - Sensitive edges and pressure - Sensitive bars,0.5549,Current,Not Relevant,Machine protective edges/bars.
16,We need industrial protective gloves for workers.,7,IS 16912:2018 ISO 21469,Safety of machinery — Lubricants with incidental product contact — Hygiene requirements,0.5446,Current,Not Relevant,Machine lubricant hygiene requirements.
16,We need industrial protective gloves for workers.,8,IS 16814:2021 ISO 13857,SAFETY OF MACHINERY SAFETY DISTANCES TO PREVENT HAZARD ZONES BEING REACHED BY UPPER AND LOWER LIMBS,0.5164,Current,Not Relevant,Machine safety distances.
16,We need industrial protective gloves for workers.,9,IS 16808:2018 ISO 14159,Safety of machinery - Hygiene requirements for the design of machinery,0.5073,Current,Not Relevant,Machine hygiene requirements.
16,We need industrial protective gloves for workers.,10,IS 15298 (Part 7):2004 ISO 8782-1,"Safety, protective and occupational footwear for professional use: Part 7 additional specifications for protective footwear",0.4989,Current,Not Relevant,Protective footwear specification.
17,We need LED lighting equipment for a commercial building.,1,IS 16103 (Part 1):2025,LED Modules for General Lighting Part 1 Safety Specifications (First Revision),0.9374,Current,Relevant,Direct LED module safety specification.
17,We need LED lighting equipment for a commercial building.,2,IS 16106:2012,Method of electrical and photometric measurements of solid state lighting (Led) products,0.6525,Current,Relevant,Direct measurement standard for LED products.
17,We need LED lighting equipment for a commercial building.,3,IS 16108 (Part 2):2018,Photobiological safety of lamps and lamp systems: Part 2 guidance on manufacturing requirements relating to non - Laser optical radiation safety,0.6146,Current,Partially Relevant,LED/lamp photobiological safety.
17,We need LED lighting equipment for a commercial building.,4,IS 16102 (Part 1):2012,Self - Ballasted led lamps for general lighting services: Part 1 safety requirements,0.6038,Current,Relevant,Direct self-ballasted LED lamp safety requirements.
17,We need LED lighting equipment for a commercial building.,5,IS 1332:1986,precast reinforced concrete street lighting poles,0.5668,Current,Not Relevant,"Street-lighting poles, not LED equipment."
17,We need LED lighting equipment for a commercial building.,6,IS 16108 (Part 3):2018,Photobiological safety of lamps and lamp systems: Part 3 guidelines for the safe use of intense pulsed light source equipment on humans,0.5572,Current,Not Relevant,Specialized intense-pulsed-light equipment guidance.
17,We need LED lighting equipment for a commercial building.,7,IS 2193:1986,Precast Prestressed Concrete Street Lighting Poles,0.5019,Current,Not Relevant,Street-lighting poles.
17,We need LED lighting equipment for a commercial building.,8,IS 15111 (Part 1):2002,Self ballasted lamps for general lighting services: Part 1 safety requirements,0.4959,Current,Partially Relevant,General self-ballasted lighting safety.
17,We need LED lighting equipment for a commercial building.,9,IS 19320:2025,61827: 2004,0.3986,Not Available,Partially Relevant,Lighting-related standard with insufficient title detail.
17,We need LED lighting equipment for a commercial building.,10,IS 18687:2024,Germicidal UV-C Irradiation Devices -Safety Requirements,0.3818,Not Available,Not Relevant,"UV-C devices, not LED lighting."
18,We need pressure vessels for an industrial plant.,1,IS 13477:2024,Industrial Water Tube Boiler - Purchasers Datasheet (First Revision),0.825,Current,Partially Relevant,"Industrial boiler purchaser data sheet, not general pressure vessels."
18,We need pressure vessels for an industrial plant.,2,IS 16835 (Part 2):2018 ISO 13856-2,Safety of machinery - Pressure - Sensitive protective devices: Part 2 general principlesfor design and testing of pressure - Sensitive edges and pressure - Sensitive bars,0.8237,Current,Not Relevant,Machine safety protective devices.
18,We need pressure vessels for an industrial plant.,3,IS 13445 (Part 1):2025,Industrial Water Tube Boilers - Supplier's Data Sheet Part 1 Proposal Stage (FIRST REVISION),0.8173,Current,Partially Relevant,Industrial boiler supplier data sheet.
18,We need pressure vessels for an industrial plant.,4,IS 12370 (Part 5):2023 ISO 4126-5,SAFETY DEVICES FOR PROTECTION AGAINST EXCESSIVE PRESSURE PART 5 CONTROLLED SAFETY PRESSURE RELIEF SYSTEMS CSPRS (Second Revision ),0.7872,Not Available,Relevant,Safety device for protection against excessive pressure.
18,We need pressure vessels for an industrial plant.,5,IS/ISO 11120:2015,GAS CYLINDERS REFILLABLE SEAMLESS STEEL TUBES OF WATER CAPACITY BETWEEN 150 L AND 3 000 L DESIGN CONSTRUCTION AND TESTING,0.7516,Not Available,Partially Relevant,Large seamless steel gas cylinders/tubes are pressure vessels.
18,We need pressure vessels for an industrial plant.,6,IS/ISO 21573 (Part 2):2020,Building Construction Machinery and Equipment — Concrete Pumps Part 2 Procedure for Examination of Technical Parameters (First Revision),0.7416,Current,Not Relevant,Concrete pump equipment.
18,We need pressure vessels for an industrial plant.,7,IS 12370 (Part 6):2023 ISO 4126-6,SAFETY DEVICES FOR PROTECTION AGAINST EXCESSIVE PRESSURE PART 6 APPLICATION SELECTION ANDINSTALLATION OF BURSTING DISC SAFETY DEVICES ( Second Revision ),0.6924,Not Available,Relevant,Bursting-disc safety device for excessive pressure.
18,We need pressure vessels for an industrial plant.,8,IS 15045 (Part 1):2021 ISO 5599-1,Pneumatic Fluid Power - Five-Port Directional Control Valves Part 1 Mounting Interface Surfaces without Electrical Connector ( First Revision ),0.6152,Current,Not Relevant,Pneumatic directional valve.
18,We need pressure vessels for an industrial plant.,9,IS 15190 (Part 1):2002,Acetylene pipelines - Code of practice: Part 1 for pressures up to 155 kPa (G),0.6128,Current,Not Relevant,Acetylene pipeline code.
18,We need pressure vessels for an industrial plant.,10,IS 15045 (Part 2):2021 ISO 5599-2,Pneumatic Fluid Power - Five-Port Directional Control Valves Part 2 Mounting Interface Surfaces with Optional Electrical Connector ( First Revision ),0.5571,Current,Not Relevant,Pneumatic directional valve.
19,We need agricultural irrigation pipes.,1,IS 11624:2019,Quality of Irrigation Water - Guidelines (First Revision),0.825,Current,Not Relevant,"Irrigation water quality, not irrigation pipes."
19,We need agricultural irrigation pipes.,2,IS 11494:1986,Code for Construction and Maintenance of Surface Farm Drainage Systems,0.7429,Current,Not Relevant,Farm drainage systems.
19,We need agricultural irrigation pipes.,3,IS 12239 (Part 6):2019,Agricultural Machinery - Safety : Part 6 Sprayers and Liquid Fertilizer Distributors,0.6402,Current,Not Relevant,Agricultural sprayer machinery.
19,We need agricultural irrigation pipes.,4,IS 8968:1978,Specification for Farm Drainage Concrete Tiles,0.6105,Current,Not Relevant,Farm drainage concrete tiles.
19,We need agricultural irrigation pipes.,5,IS 15858:2013,Cotton Seed Delinting Machinery — Delinting Machine with Electrical Heating and Hydraulic System — Specification,0.542,Current,Not Relevant,Cotton seed processing machinery.
19,We need agricultural irrigation pipes.,6,IS 13218 (Part 1):2026,PROFORMA FOR REPORTING PROGRESS DURING CONSTRUCTION FOR RIVER VALLEY PROJECTS PART 1 IRRIGATION WORKS First Revision of IS 13218 Part 1,0.5285,Not Available,Not Relevant,River valley project reporting format.
19,We need agricultural irrigation pipes.,7,IS 14519:1998,Guidelines for fixing rates for irrigation water,0.4899,Current,Not Relevant,Irrigation water pricing/rates.
19,We need agricultural irrigation pipes.,8,IS 13218 (Part 1):1992,Proforma for reporting progress during construction for river valley projects: Part 1 irrigation works,0.474,Current,Not Relevant,River valley project reporting format.
19,We need agricultural irrigation pipes.,9,IS 14483 (Part 2):2025,Fertilizer and Chemical Injection System Part 2 Water Driven Chemical Injector Pump - Specification ( First Revision),0.4128,Current,Not Relevant,Chemical injector pump.
19,We need agricultural irrigation pipes.,10,IS 13218 (Part 3):2024,PROFORMA FOR REPORTING PROGRESS DURING CONSTRUCTION FOR RIVER VALLEY PROJECTS PART 3 FLOOD CONTROL (First Revision ),0.379,Current,Not Relevant,Flood-control project reporting format.
20,We need testing requirements for concrete used in construction.,1,IS 1199 (Part 7):2018,"Fresh Concrete - Methods of Sampling, Testing and Analysis: Part 7 Determination of Setting Time of Concrete by Penetration Resistance ( First Revision )",0.814,Current,Relevant,Direct concrete setting-time test method.
20,We need testing requirements for concrete used in construction.,2,IS 516 (Part 5/Sec 1):2018,Hardened Concrete - Methods of Test: Part 5 Non-destructive Testing of Concrete: Section 1 Ultrasonic Pulse Velocity Testing ( First Revision ),0.7776,Current,Relevant,Direct non-destructive concrete testing method.
20,We need testing requirements for concrete used in construction.,3,IS 1199 (Part 6):2018,"Fresh Concrete - Methods of Sampling, Testing and Analysis: Part 6 Tests on Fresh Self Compacting Concrete ( First Revision )",0.7311,Current,Relevant,Direct fresh concrete testing method.
20,We need testing requirements for concrete used in construction.,4,IS 516 (Part 4):2018,"Hardened Concrete - Methods of Test: Part 4 Sampling, Preparing and Testing of Concrete Cores ( First Revision )",0.707,Current,Relevant,Direct concrete core sampling/testing method.
20,We need testing requirements for concrete used in construction.,5,IS 1199 (Part 5):2018,"Fresh Concrete - Methods of Sampling, Testing and Analysis: Part 5 Making and Curing of Test Specimens ( First Revision )",0.6647,Current,Relevant,Direct making and curing test specimens method.
20,We need testing requirements for concrete used in construction.,6,IS 516 (Part 5/Sec 3):2021,Hardened Concrete - Methods of Test: Part 5 Non-Destructive Testing of Concrete: Section 3 Carbonation Depth Test ( First Revision ),0.6528,Not Available,Relevant,Direct concrete carbonation-depth test method.
20,We need testing requirements for concrete used in construction.,7,IS 14858:2000,Compression Testing Machine used for testing of Concrete and Mortar - Requirements,0.652,Current,Partially Relevant,Testing machine requirement rather than test procedure.
20,We need testing requirements for concrete used in construction.,8,IS 3597:1998,Concrete pipes - Methods of test,0.6264,Current,Partially Relevant,Concrete pipe testing is application-specific.
20,We need testing requirements for concrete used in construction.,9,IS 516 (Part 1/Sec 1):2021,"Hardened concrete - Methods of test: Part 1 Testing of strength of hardened concrete: Section 1 Compressive, flexural and split tensile strength (First Revision)",0.6254,Not Available,Relevant,Direct hardened concrete strength testing method.
20,We need testing requirements for concrete used in construction.,10,IS 516 (Part 5/Sec 4):2020,Hardened Concrete - Methods of Test: Part 5 Non-Destructive Testing of Concrete: Section 4 Rebound Hammer Test ( First Revision ),0.5606,Current,Relevant,Direct rebound-hammer test method.
